Classification,Pitch0,Roll0,Pitch1,Roll1,Pitch2,Roll2,Pitch3,Roll3,Pitch4,Roll4
A,-912,-456,-798,-684,-855,-684,-1083,-228,1026,-114
A,-912,-456,-855,-684,-912,-684,-1140,-285,1026,-171
A,-969,-456,-855,-684,-912,-684,-1083,-228,1026,-171
A,-969,-456,-855,-684,-912,-684,-1140,-228,1026,-171
A,-969,-399,-855,-627,-912,-627,-1083,-228,1026,-171
A,-969,-399,-912,-627,-912,-627,-1140,-228,1026,-171
A,-969,-342,-912,-570,-912,-627,-1083,-171,1026,-171
A,-969,-342,-912,-570,-969,-570,-1083,-171,1026,-114
A,-1026,-342,-912,-570,-969,-570,-1140,-171,1026,-171
A,-1026,-342,-969,-570,-969,-570,-1140,-171,1083,-171
A,-1026,-342,-969,-570,-969,-570,-1140,-171,1083,-171
A,-1026,-285,-969,-513,-969,-570,-1140,-171,1026,-114
